memory file = ../riscvn.mem
program counter = 0000000c(12)
stack address = 4096
debugtype = 3
ram[00000000]  = 00000417(32) ; 00000000 -> 00000417 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff00ffff : t4 -> ff00ffff : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000518] -> 17de1e63
[INST] inst fetched from 00000518 -> 17de1e63
[BRANCH] 17de1e63 : rs1 28(ff00ffff), rs2 29(ff00ffff), funct3 1, brimm 17c
: pc -> 0000051c(1308) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 000004f8 : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff00ffff : t4 -> ff00ffff : t5 -> 00000000 : t6 -> 00000000 : 
ram[0000051c] -> 00000417
[INST] inst fetched from 0000051c -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 00000520(1312) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 0000051c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff00ffff : t4 -> ff00ffff : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000520] -> ff010337
[INST] inst fetched from 00000520 -> ff010337
[LUI] ff010337 : rd 6, upperimm ff010000
: pc -> 00000524(1316) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff010000 : t2 -> ff0000ff : 
: s0 -> 0000051c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff00ffff : t4 -> ff00ffff : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000524] -> f0030313
[INST] inst fetched from 00000524 -> f0030313
[REGIMM] f0030313 : rd 6, rs1 6(ff010000), funct3 0, funct7 78, imm f00
: pc -> 00000528(1320) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 0000051c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff00ffff : t4 -> ff00ffff : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000528] -> ff0003b7
[INST] inst fetched from 00000528 -> ff0003b7
[LUI] ff0003b7 : rd 7, upperimm ff000000
: pc -> 0000052c(1324) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff000000 : 
: s0 -> 0000051c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff00ffff : t4 -> ff00ffff : t5 -> 00000000 : t6 -> 00000000 : 
ram[0000052c] -> 0ff38393
[INST] inst fetched from 0000052c -> 0ff38393
[REGIMM] 0ff38393 : rd 7, rs1 7(ff000000), funct3 0, funct7 7, imm ff
: pc -> 00000530(1328) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 0000051c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff00ffff : t4 -> ff00ffff : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000530] -> ff000eb7
[INST] inst fetched from 00000530 -> ff000eb7
[LUI] ff000eb7 : rd 29, upperimm ff000000
: pc -> 00000534(1332) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 0000051c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff00ffff : t4 -> ff000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000534] -> 00737e33
[INST] inst fetched from 00000534 -> 00737e33
[REGREG] 00737e33 : rd 28, rs1 6(ff00ff00), rs2 7(ff0000ff), funct3 7, funct7 0
: pc -> 00000538(1336) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 0000051c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff000000 : t4 -> ff000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000538] -> 15de1e63
[INST] inst fetched from 00000538 -> 15de1e63
[BRANCH] 15de1e63 : rs1 28(ff000000), rs2 29(ff000000), funct3 1, brimm 15c
: pc -> 0000053c(1340) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 0000051c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff000000 : t4 -> ff000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[0000053c] -> 00000417
[INST] inst fetched from 0000053c -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 00000540(1344) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 0000053c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff000000 : t4 -> ff000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000540] -> ff010337
[INST] inst fetched from 00000540 -> ff010337
[LUI] ff010337 : rd 6, upperimm ff010000
: pc -> 00000544(1348) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff010000 : t2 -> ff0000ff : 
: s0 -> 0000053c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff000000 : t4 -> ff000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000544] -> f0030313
[INST] inst fetched from 00000544 -> f0030313
[REGIMM] f0030313 : rd 6, rs1 6(ff010000), funct3 0, funct7 78, imm f00
: pc -> 00000548(1352) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 0000053c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff000000 : t4 -> ff000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000548] -> ff0003b7
[INST] inst fetched from 00000548 -> ff0003b7
[LUI] ff0003b7 : rd 7, upperimm ff000000
: pc -> 0000054c(1356) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff000000 : 
: s0 -> 0000053c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff000000 : t4 -> ff000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[0000054c] -> 0ff38393
[INST] inst fetched from 0000054c -> 0ff38393
[REGIMM] 0ff38393 : rd 7, rs1 7(ff000000), funct3 0, funct7 7, imm ff
: pc -> 00000550(1360) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 0000053c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff000000 : t4 -> ff000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000550] -> 00010eb7
[INST] inst fetched from 00000550 -> 00010eb7
[LUI] 00010eb7 : rd 29, upperimm 10000
: pc -> 00000554(1364) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 0000053c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff000000 : t4 -> 00010000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000554] -> fffe8e93
[INST] inst fetched from 00000554 -> fffe8e93
[REGIMM] fffe8e93 : rd 29, rs1 29(00010000), funct3 0, funct7 7f, imm fff
: pc -> 00000558(1368) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 0000053c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff000000 : t4 -> 0000ffff : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000558] -> 00734e33
[INST] inst fetched from 00000558 -> 00734e33
[REGREG] 00734e33 : rd 28, rs1 6(ff00ff00), rs2 7(ff0000ff), funct3 4, funct7 0
: pc -> 0000055c(1372) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 0000053c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0000ffff : t4 -> 0000ffff : t5 -> 00000000 : t6 -> 00000000 : 
ram[0000055c] -> 13de1c63
[INST] inst fetched from 0000055c -> 13de1c63
[BRANCH] 13de1c63 : rs1 28(0000ffff), rs2 29(0000ffff), funct3 1, brimm 138
: pc -> 00000560(1376) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 0000053c : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0000ffff : t4 -> 0000ffff : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000560] -> 00000417
[INST] inst fetched from 00000560 -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 00000564(1380) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 00000560 : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0000ffff : t4 -> 0000ffff : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000564] -> ff010337
[INST] inst fetched from 00000564 -> ff010337
[LUI] ff010337 : rd 6, upperimm ff010000
: pc -> 00000568(1384) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff010000 : t2 -> ff0000ff : 
: s0 -> 00000560 : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0000ffff : t4 -> 0000ffff : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000568] -> f0030313
[INST] inst fetched from 00000568 -> f0030313
[REGIMM] f0030313 : rd 6, rs1 6(ff010000), funct3 0, funct7 78, imm f00
: pc -> 0000056c(1388) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 00000560 : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0000ffff : t4 -> 0000ffff : t5 -> 00000000 : t6 -> 00000000 : 
ram[0000056c] -> 80f36e13
[INST] inst fetched from 0000056c -> 80f36e13
[REGIMM] 80f36e13 : rd 28, rs1 6(ff00ff00), funct3 6, funct7 40, imm 80f
: pc -> 00000570(1392) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 00000560 : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ffffff0f : t4 -> 0000ffff : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000570] -> f0f00e93
[INST] inst fetched from 00000570 -> f0f00e93
[REGIMM] f0f00e93 : rd 29, rs1 0(00000000), funct3 0, funct7 78, imm f0f
: pc -> 00000574(1396) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 00000560 : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ffffff0f : t4 -> ffffff0f : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000574] -> 13de1063
[INST] inst fetched from 00000574 -> 13de1063
[BRANCH] 13de1063 : rs1 28(ffffff0f), rs2 29(ffffff0f), funct3 1, brimm 120
: pc -> 00000578(1400) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 00000560 : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ffffff0f : t4 -> ffffff0f : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000578] -> 00000417
[INST] inst fetched from 00000578 -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 0000057c(1404) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 00000578 : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ffffff0f : t4 -> ffffff0f : t5 -> 00000000 : t6 -> 00000000 : 
ram[0000057c] -> ff010337
[INST] inst fetched from 0000057c -> ff010337
[LUI] ff010337 : rd 6, upperimm ff010000
: pc -> 00000580(1408) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff010000 : t2 -> ff0000ff : 
: s0 -> 00000578 : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ffffff0f : t4 -> ffffff0f : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000580] -> f0030313
[INST] inst fetched from 00000580 -> f0030313
[REGIMM] f0030313 : rd 6, rs1 6(ff010000), funct3 0, funct7 78, imm f00
: pc -> 00000584(1412) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 00000578 : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ffffff0f : t4 -> ffffff0f : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000584] -> 70f36e13
[INST] inst fetched from 00000584 -> 70f36e13
[REGIMM] 70f36e13 : rd 28, rs1 6(ff00ff00), funct3 6, funct7 38, imm 70f
: pc -> 00000588(1416) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 00000578 : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff00ff0f : t4 -> ffffff0f : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000588] -> ff010eb7
[INST] inst fetched from 00000588 -> ff010eb7
[LUI] ff010eb7 : rd 29, upperimm ff010000
: pc -> 0000058c(1420) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 00000578 : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff00ff0f : t4 -> ff010000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[0000058c] -> f0fe8e93
[INST] inst fetched from 0000058c -> f0fe8e93
[REGIMM] f0fe8e93 : rd 29, rs1 29(ff010000), funct3 0, funct7 78, imm f0f
: pc -> 00000590(1424) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ff00ff00 : t2 -> ff0000ff : 
: s0 -> 00000578 : s1 -> 0000ffec : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> ff00ff0f : t4 -> ff00ff0f : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000590] -> 11de1263
[INST] inst fetched from 00000590 -> 11de1263
